datetime,Cantidad,compactos,lujo,deportivos,minivans,pickups,suvs,subcompactos,TC_FIX,INFLACION,INFLACION_AUTOS,total_salario_diario,ICC,dias_trabajo,TIIE_28,IPC_General,IPC_Autos,precio_relativo,IGAE_Original,IGAE_Desestacionalizado,IGAE_Desestacionalizado_efecto calendario,Exports,Gasolina
01/01/05,93299,18672,3295,552,4002,14168,12466,40144,11.2141,58.30916037,69.86854755,195.16,42,20,8.968333333,58.309,69.869,119.824,82.25837015,83.06095678,84.53537368,61692,
02/01/05,89444,16426,3215,538,4047,14256,12930,38032,11.0965,58.50343099,70.05922517,194.63,43.2,19,9.467,58.503,70.059,119.752,80.89941992,81.17101768,84.77289523,89341,
03/01/05,89483,16493,3174,600,4905,14870,12841,36600,11.1783,58.76712098,70.07505761,194.45,42.9,22,9.777,58.767,70.075,119.242,83.62639537,84.6177797,84.55451691,81043,
04/01/05,86426,16028,3379,629,4110,15682,12776,33822,11.0832,58.97641519,70.25403299,194.33,41.1,21,10.01428571,58.976,70.254,119.122,86.5937284,84.99225427,84.94542093,100964,
05/01/05,83962,15765,3383,519,3958,15188,11856,33293,10.916,58.82825146,70.5114822,197.07,40.7,21,10.12227273,58.828,70.511,119.86,87.88889111,88.17268225,85.89617422,98754,
06/01/05,84897,15448,3195,565,4227,15824,12014,33624,10.7752,58.77178347,70.72418755,196.89,41.1,22,10.01,58.772,70.724,120.337,86.35208741,86.05945586,84.50752529,94587,
07/01/05,85000,15322,2957,625,4219,15024,12570,34283,10.6057,59.00179988,70.83294952,198.8,41.1,21,10.0147619,59.002,70.833,120.052,83.78419978,84.44692756,84.81935175,64760,
08/01/05,90626,17203,3668,582,3703,16332,12602,36536,10.7995,59.07225536,70.61749069,198.1,40.3,23,9.984347826,59.072,70.617,119.544,86.43119917,85.86788368,85.99338485,98512,
09/01/05,91078,16764,3624,596,4035,17273,12598,36188,10.7907,59.30900649,70.09226678,196.59,41.7,21,9.649285714,59.309,70.092,118.181,84.64255962,84.3044903,86.13555023,114075,
10/01/05,89999,17705,3826,577,4415,17234,13552,32690,10.7857,59.45457994,70.2705538,195.72,42,21,9.408452381,59.455,70.271,118.192,86.8531035,87.70081061,86.27162224,133799,
11/01/05,100755,19807,3881,643,4969,19528,15432,36495,10.5793,59.88249335,70.44471061,197.51,42.1,21,9.1675,59.882,70.445,117.638,88.65732484,88.15249091,87.12387635,129109,
